course_num,course_name,description
CMPT 416,"Special Research Projects
		
			(3)",To be individually arranged. Prerequisite: Permission of the department.
CMPT 417,"Intelligent Systems
		
			(3)","Intelligent Systems using modern constraint programming and heuristic search methods. A survey of this rapidly advancing technology as applied to scheduling, planning, design and configuration. An introduction to constraint programming, heuristic search, constructive (backtrack) search, iterative improvement (local) search, mixed-initiative systems and combinatorial optimization. Prerequisite:CMPT 225with a minimum grade of C-."
CMPT 419,"Special Topics in Artificial Intelligence
		
			(3)",Current topics in artificial intelligence depending on faculty and student interest.
CMPT 420,"Deep Learning
		
			(3)","In machine learning, many recent successes have been achieved using neural networks with several layers, so-called deep neural networks. Convolutional neural nets, autoencoders, recurrent neural nets, long-short term memory networks, and generative adversarial networks will be presented. Students will look at techniques for training them from data, and applications. Prerequisite:CMPT 310,CMPT 410orCMPT 419(Machine Learning), both with a minimum grade of C-. Students with credit forCMPT 728may not take this course for further credit."
CMPT 426,"Practicum I
		
			(3)","First term of work experience in the School of Computing Science Co-operative Education Program. Units from this course do not count towards the units required for an SFU degree. Graded as pass/fail (P/F). Prerequisite: Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before their anticipated co-op placement. Students must then enroll with the co-op program by the second week of the term preceding the work term. Normally, students will have completed a minimum of 45 units by the end of the term of application,CMPT 275or276, and have a minimum CGPA of 2.50."
CMPT 427,"Practicum II
		
			(3)","The second term of work experience for students in the Computing Science Co-operative Education Program. Units from this course do not count towards the units required for an SFU degree. Graded as pass/fail (P/F). Prerequisite:CMPT 426, CGPA of 2.50."
CMPT 428,"Practicum III
		
			(3)","The third term of work experience for students in the Computing Science Co-operative Education Program. Units from this course do not count towards the units required for an SFU degree. Graded as pass/fail (P/F). Prerequisite:CMPT 427, CGPA of 2.50."
CMPT 429,"Practicum IV
		
			(3)","The fourth term of work experience for students in the Computing Science Co-operative Education Program. Units from this course do not count towards the units required for an SFU degree. Graded as pass/fail (P/F). Prerequisite:CMPT 428, CGPA of 2.50."
CMPT 430,"Practicum V
		
			(3)","An optional fifth term of work experience for students in the Computing Science Co-operative Education Program. Units from this course do not count towards the units required for an SFU degree. This course may be repeated for credit at most twice. Repeating for credit requires approval of the School. Graded as pass/fail (P/F). Prerequisite:CMPT 429, CGPA of 2.50."
CMPT 431,"Distributed Systems
		
			(3)","An introduction to distributed systems: systems consisting of multiple physical components connected over a network. Architectures of such systems, ranging from client-server to peer-to-peer. Distributed systems are analyzed via case studies of real network file systems, replicated systems, sensor networks and peer-to-peer systems. Hands-on experience designing and implementing a complex distributed system. Prerequisite: (CMPT 201orCMPT 300orENSC 351) andCMPT 371, both with a minimum grade of C-. Students with credit forCMPT 401before September 2008 may not take this course for further credit."
CMPT 433,"Embedded Systems
		
			(3)","The basics of embedded system organization, hardware-software co-design, and programmable chip technologies are studied. Formal models and specification languages for capturing and analyzing the behaviour of embedded systems. The design and use of tools for system partitioning and hardware/software co-design implementation, validation, and verification are also studied. Prerequisite: (CMPT 201orCMPT 300orENSC 351) andCMPT 295, both with a minimum grade of C-."
CMPT 441,"Computational Biology
		
			(3)","This course introduces students to the computing science principles underlying computational biology. The emphasis is on the design, analysis and implementation of computational techniques. Possible topics include algorithms for sequence alignment, database searching, gene finding, phylogeny and structure analysis.  Prerequisite:CMPT 307with a minimum grade of C-.  Students with credit for CMPT 341 may not take this course for further credit."
CMPT 450,"Computer Architecture
		
			(3)","Principles of the architecture of computing systems. Topics include: superscalar processor micro-architecture, speculative execution, cache and memory hierarchy, multiprocessors, cache coherence, memory consistency, implications of technology on architecture, parallel architectures (multi-threading, GPUs, vector processors). Prerequisite:CMPT 295with a minimum grade of C-."
CMPT 454,"Database Systems II
		
			(3)","An advanced course on database systems which covers crash recovery, concurrency control, transaction processing, distributed database systems as the core material and a set of selected topics based on the new developments and research interests, such as object-oriented data models and systems, extended relational systems, deductive database systems, and security and integrity. Prerequisite: (CMPT 201orCMPT 300orENSC 351) andCMPT 354, both with a minimum grade of C-."
CMPT 455,"Data Mining
		
			(3)","Data mining is the efficient discovery of useful patterns in large datasets and is a key area in big data analytics. This course focuses on fundamental data mining tasks and algorithms as well as key applications. Topics include data processing, classification techniques, cluster analysis and outlier detection. Prerequisite:CMPT 354andSTAT 271. Students with credit forCMPT 459under the title ""Data Mining"" may not take this course for further credit."
CMPT 456,"Information Retrieval and Web Search
		
			(3)","Introduction to the essentials of information retrieval and the applications of information retrieval in web search and web information systems. Topics include the major models of information retrieval, similarity search, text content search, link structures and web graphics, web mining and applications, crawling, search engines, and some advanced topics such as spam detection, online advertisement, and fraud detection in online auctions. Prerequisite:CMPT 354with a minimum grade of C-."
CMPT 459,"Special Topics in Database Systems
		
			(3)",Current topics in database and information systems depending on faculty and student interest. Prerequisite:CMPT 354with a minimum grade of C-.
CMPT 461,"Computational Photography and Image Manipulation
		
			(3)","Computational photography is concerned with overcoming the limitations of traditional photography with computation: in optics, sensors, and geometry; and even in composition, style, and human interfaces. The course covers computational techniques to improve the way we process, manipulate, and interact with visual media. The covered topics include intrinsic decomposition, monocular depth estimation, edit propagation, camera geometry and optics, computational apertures, advanced image filtering operations, high-dynamic range, image blending, texture synthesis and inpainting. Prerequisite:CMPT 361with a minimum grade of C-."
CMPT 464,"Geometric Modelling in Computer Graphics
		
			(3)","Covers advanced topics in geometric modelling and processing for computer graphics, such as Bezier and B-spline techniques, subdivision curves and surfaces, solid modelling, implicit representation, surface reconstruction, multi-resolution modelling, digital geometry processing (e.g. mesh smoothing, compression, and parameterization), point-based representation, and procedural modelling. Prerequisite:CMPT 361,MACM 316, both with a minimum grade of C-.  Students with credit forCMPT 469between 2003 and 2007 or equivalent may not take this course for further credit."
CMPT 466,"Animation
		
			(3)","Topics and techniques in animation, including: The history of animation, computers in animation, traditional animation approaches, and computer animation techniques such as geometric modelling, interpolation, camera controls, kinematics, dynamics, constraint-based animation, realistic motion, temporal aliasing, digital effects and post production. Prerequisite:CMPT 361with a minimum grade of C-."
